"logger_id","packet_date","CH01","CH02","CH03","CH04","CH05","CH06","CH07","CH08","CH09","CH10","CH11","CH12","CH13","CH14","CH15","CH16","AlarmCh01","AlarmCh02","AlarmCh03","AlarmCh04","AlarmCh05","AlarmCh06","AlarmCh07","AlarmCh08","AlarmCh09","AlarmCh10","AlarmCh11","AlarmCh12","AlarmCh13","AlarmCh14","AlarmCh15","AlarmCh16"
1,"2025-11-25 10:50:00",-67.2,-70.9,-18.8,4.1,-73.6,-72.8,5.1,7.4,21.2,60.3,23.7,61.3,26.6,27.4,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 11:00:00",-67.4,-69.8,-19.6,4.4,-73.5,-74.9,4.2,4.6,21.6,59.4,23.6,61.3,24.2,25.6,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 11:10:00",-67.1,-69.7,-18.7,4.2,-71.5,-71.5,4.2,3.7,21.6,59.6,23.6,61.5,27,26.7,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 11:20:00",-67.7,-68.6,-19.7,4.3,-74.2,-72.9,4.5,5,21.6,58.9,23.6,60.8,22.1,23.7,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 11:30:00",-67.2,-70.4,-18.1,4.6,-74.6,-72.6,4,8.2,21.3,60.5,23.6,61.7,24.4,26.4,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","HighAlarm","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 11:40:00",-67.5,-70.4,-18.8,5.6,-73.3,-74.2,4,3.8,21.7,59.4,23.6,60.1,23.9,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 11:50:00",-67.6,-71.2,-19.1,5.1,-75,-72,4.6,7,21.9,58.4,23.5,61.7,23.4,25,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 12:00:00",-68,-71,-18.9,4,-74.9,-72.6,4.8,7.2,21.9,58.2,23.6,61.6,23.3,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 12:10:00",-67.8,-68.8,-18.8,5.7,-72.7,-70.7,4.4,7.2,21.9,58.2,23.6,61.1,23.6,25.1,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 12:20:00",-67.8,-69.3,-19,4.2,-75.4,-71.9,4.3,7.1,22,58.1,23.6,61.4,23.8,25.5,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 12:30:00",-64.3,-69.3,-19.1,4.9,-74.2,-72.9,4.3,6.8,21.7,59.7,23.6,60.8,23.5,24.7,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 12:40:00",-67.2,-71.2,-18.9,4.5,-61.1,-74.1,3.8,3.8,21.6,59.4,23.6,60.5,24,25.7,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 12:50:00",-62.7,-67.1,-19,4.9,-71.7,-74.4,4.2,6.9,21.7,59.3,23.6,60,23.1,24.6,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 13:00:00",-66.7,-63.6,-18.7,3.5,-74.1,-73.9,3.5,4,21.6,59.1,23.7,61.3,24.1,25.4,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 13:10:00",-65.7,-71.5,-19.1,5.3,-75,-72.4,5,6.9,21.9,58.5,23.6,60.3,23.7,24.8,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 13:20:00",-67.7,-70.4,-18.8,5,-74.9,-72.2,4.8,7,21.9,58.6,23.6,61.7,23.2,25,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 13:30:00",-67.9,-70.3,-19.5,4.1,-75.2,-71.3,5.4,6.1,21.7,59.3,23.7,61.5,23.5,25.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 13:40:00",-65.2,-71,-20,3.6,-73.4,-72.4,3.6,4.5,21.6,59.6,23.6,61.4,22.7,23.6,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 13:50:00",-67.8,-69.7,-18.9,5.1,-74.1,-70.8,4.5,7.2,21.8,58.3,23.6,61.4,22.3,24.3,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
1,"2025-11-25 14:00:00",-68.2,-70.1,-19.1,3.7,-74.7,-71.2,4.6,6.9,21.9,58.4,23.6,61.8,22.8,24.2,-200,-200,"InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","InRange","Open","Open"
